2025-12-18 12:58:30 | INFO     | DF | Running on torch 2.9.1
2025-12-18 12:58:30 | INFO     | DF | Running on host Rakibuls-MacBook-Air.local
2025-12-18 12:58:30 | INFO     | DF | Git commit: 590081e, branch: main
2025-12-18 12:58:30 | INFO     | DF | Loading model settings of DeepFilterNet2
2025-12-18 12:58:30 | INFO     | DF | Initializing model `deepfilternet2`
2025-12-18 12:58:30 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2025-12-18 12:58:30 | INFO     | DF | Running on device cpu
2025-12-18 12:58:30 | INFO     | DF | Model loaded
2025-12-18 12:58:31 | INFO     | DF | Filter: ['p232']
2025-12-18 12:59:33 | INFO     | DF | Got parameters speech_upl: /private/var/folders/80/yfn_3rfx50g_h50gwsyjj16c0000gn/T/gradio/48314eada9eacde67bdb6c505cf296f2b06c0f8f298550400419ffafef0ee744/audio.wav, noise: None, snr: 10
2025-12-18 12:59:35 | INFO     | DF | Got parameters speech_upl: /private/var/folders/80/yfn_3rfx50g_h50gwsyjj16c0000gn/T/gradio/48314eada9eacde67bdb6c505cf296f2b06c0f8f298550400419ffafef0ee744/audio.wav, noise: None, snr: 10
2025-12-18 13:00:10 | INFO     | DF | Got parameters speech_upl: /private/var/folders/80/yfn_3rfx50g_h50gwsyjj16c0000gn/T/gradio/48314eada9eacde67bdb6c505cf296f2b06c0f8f298550400419ffafef0ee744/audio.wav, noise: None, snr: 10
2025-12-18 13:01:44 | INFO     | DF | Got parameters speech_upl: /private/var/folders/80/yfn_3rfx50g_h50gwsyjj16c0000gn/T/gradio/20917c54ef354cc7d1dc24a796b31b9aadc3a83390ec25e808c7dfbfe515b88f/audio.wav, noise: None, snr: 10
2025-12-18 13:03:04 | INFO     | DF | Got parameters speech_upl: /private/var/folders/80/yfn_3rfx50g_h50gwsyjj16c0000gn/T/gradio/20917c54ef354cc7d1dc24a796b31b9aadc3a83390ec25e808c7dfbfe515b88f/audio.wav, noise: Kitchen, snr: 10
2025-12-18 13:03:16 | INFO     | DF | Got parameters speech_upl: /private/var/folders/80/yfn_3rfx50g_h50gwsyjj16c0000gn/T/gradio/20917c54ef354cc7d1dc24a796b31b9aadc3a83390ec25e808c7dfbfe515b88f/audio.wav, noise: None, snr: 0
2025-12-18 13:05:29 | INFO     | DF | Got parameters speech_upl: /private/var/folders/80/yfn_3rfx50g_h50gwsyjj16c0000gn/T/gradio/8c2f6a03a5f2eb83c447d553db1e856edb5ab3e6a2731a3bf59eafd2904b9e95/audio.wav, noise: None, snr: 10
2025-12-18 13:05:40 | INFO     | DF | Running on torch 2.9.1
2025-12-18 13:05:40 | INFO     | DF | Running on host Rakibuls-MacBook-Air.local
2025-12-18 13:05:40 | INFO     | DF | Git commit: 590081e, branch: main
2025-12-18 13:05:40 | INFO     | DF | Loading model settings of DeepFilterNet2
2025-12-18 13:05:40 | INFO     | DF | Initializing model `deepfilternet2`
2025-12-18 13:05:40 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2025-12-18 13:05:40 | INFO     | DF | Running on device cpu
2025-12-18 13:05:40 | INFO     | DF | Model loaded
2025-12-18 13:05:40 | INFO     | DF | Filter: ['p232']
2025-12-18 13:05:51 | INFO     | DF | Got parameters speech_upl: /private/var/folders/80/yfn_3rfx50g_h50gwsyjj16c0000gn/T/gradio/8615f34d74a2284e8bf6647ff15cc5c2142fdf6b58183695893dc8bf4651ad5e/audio.wav, noise: None, snr: 10
2025-12-18 13:05:51 | INFO     | DF | Loaded sample with shape torch.Size([1, 89280])
2025-12-18 13:05:51 | INFO     | DF | Start denoising audio
2025-12-18 13:05:51 | INFO     | DF | Denoising finished
2025-12-18 13:05:51 | INFO     | DF | saved audios: /var/folders/80/yfn_3rfx50g_h50gwsyjj16c0000gn/T/tmpwzdq1t3_noisy.wav, /var/folders/80/yfn_3rfx50g_h50gwsyjj16c0000gn/T/tmpid2cqcefenhanced.wav
